YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020
,,,,,,,,,
17.8502680006291,17.5175199279774,17.0848821579089,16.4020498301416,17.0597786823228,17.498604071126,17.6065954076372,17.5325360786377,18.1055287644064,
30.6783919173107,30.3530255225878,30.3319386683867,31.7365758733408,31.8499609634443,31.5025724093362,31.4544101509781,32.2801824238976,31.9085326228511,29.3634480170965
20.8571094113825,20.9179512281937,21.5972984025064,22.1484938947536,19.5693636315682,19.1464545719812,19.845280989292,19.6436735933248,20.0154216050951,18.8834105223205
,,,,,,,,,
,,,,,,,,,
26.5681893451605,25.4925222245396,24.599254436897,23.5100609074235,21.3540798828848,19.5843800536482,19.6922769882201,19.1121035364139,18.4099923582526,18.4969112496804
49.2333302092041,48.6653631958681,47.3783909245559,47.61581833679,45.417586545377,44.3806673655995,44.9050468938015,44.4857528863018,43.7730279570427,44.5331159418765
94.6955661814342,98.7265845801709,94.5512797276309,105.409287684113,104.164608321982,113.765931218196,,,,
41.4594350794156,42.1470295203488,39.9007893907666,39.2037574580447,38.3283588568074,37.2690091131874,36.7429402763665,36.4854349285773,36.2056114465457,
30.713820650263,29.9368811198155,29.7738901545042,28.1098327329943,27.1847735545253,28.2207813201973,30.0456859641903,30.5063972258759,31.0049780892243,28.1208336159313
13.9314928229385,12.4444771302398,11.676085140021,12.4569762449552,12.5285818953316,12.4816573584441,14.5985315327448,14.1188012020137,15.1938785000719,14.025618232808
51.5565536600977,50.6780305618952,50.3118273627008,,,,,,,
14.4898394030493,16.166712404362,16.6386825486965,14.803137644208,15.1256903622794,15.2719500252316,15.6141099220983,15.6736737129523,,
24.5404113195713,24.534430661418,25.430861300519,22.9679630081172,19.8131891564045,19.1582349105946,18.7917648392982,19.941240676408,18.4293865079984,18.6631801620548
35.1317965399037,35.2612917940085,34.3046563330021,33.4660242231467,32.4539249030912,30.8305755075872,31.7067543028189,31.3174684750329,29.8849259068387,30.7328820714016
111.910668944666,129.789990658457,131.762109362907,121.221179767238,88.5330898630554,85.3401542655445,,,,
44.2499131380599,40.026897986747,38.4539045591654,35.1777393794344,27.4227441627721,26.1778934748564,24.6647319123969,23.5498433661149,22.1591594221489,
103.273302026359,104.273175824409,103.808622575844,109.96027589003,121.980527058129,121.542510587379,121.126410017488,122.990378775336,127.927930234974,131.112559974595
15.3243962499062,15.789478249864,20.6596359224088,23.8520213159936,30.1937500556611,33.560061554338,34.4065251123993,33.9329460331824,35.3903027061272,37.382714921803
48.4242788405117,51.8302902675538,46.528395183704,44.1432105328224,43.2874825722566,42.1776661434961,,,,
40.0870367327778,35.0312383614803,33.0921118762162,32.3602835125891,31.5439139970236,30.7208627156236,29.8658364919798,29.6510965991895,30.0799834128649,
30.3950240582091,28.8593905898689,28.8135811643821,27.9828573783327,27.8585415524399,26.4757462549093,27.3322484069435,27.5925026326857,26.9868974011425,21.7882940971891
17.4692666990898,17.4455797762806,19.6165856153266,19.6164745238124,20.7536595371286,20.55864236343,20.7392688951798,20.3639341033887,21.0578256620883,
,,,,,,,,,
,,,,,,,,,
13.966669657767,12.3966627590851,13.2771534315669,12.2425836268349,10.6044113782278,9.14572693911771,8.2573202960672,8.97196644517372,10.0887501814304,10.0315894143289
15.4749235376255,13.8940505714214,14.6662725214299,15.2755611353022,15.7718454199891,14.9500868593299,13.041833989707,12.2170205448288,12.3642185716875,16.9118418829903
28.1319763006874,28.4447160238828,34.7818441710121,39.5686432450834,35.2739193421171,,,,,
19.41745835874,18.6216196174385,19.0937265311292,19.3047821192786,18.682549909541,18.929805654186,18.3795410326897,18.4076541363674,17.9272525607842,
70.8549093801611,68.9512356297981,67.1711410731483,68.3941351612178,67.6366902705865,67.0708839693011,66.6728324663767,64.856468486664,59.4875005370431,51.4618602311106
31.4339597753709,28.9313122031915,27.220769861457,27.4850767777456,28.0438228298118,30.076505241858,31.9424666965328,31.6600490359764,31.7083839365738,27.7498531602619
90.0547850215033,94.163413471203,96.0756025370965,96.3424846931573,96.7470128768005,98.8169816398565,,,,
25.4433280646177,23.9997785778618,23.0229027075258,22.7303976235272,22.4748697637279,22.5475531311468,22.2735170479355,22.3029493296115,22.658365078773,32.9879821677342
13.6133373591048,13.6920355236915,13.6252698686445,13.5641341712248,12.4389385481237,11.9077139899094,12.1975159348969,12.2915199559729,11.7561731173036,10.1341428900737
16.3203201773687,18.6618363187112,19.0888995342511,20.21306505519,20.208072490397,18.9435831537488,19.5198642145532,19.6363249924884,19.4946400229959,19.2488198604211
,,,,,,,,,
29.3728040451394,30.1827407975473,31.7538953730696,31.5938172506061,32.8582083807456,31.6724849762388,32.825871946257,34.3266280815684,34.5203279800452,
27.6981484703752,27.1391491937679,28.379280320361,29.0006193033471,27.7136384124829,28.1560881698955,27.3400757812216,27.4885881268174,27.3421804922648,27.778011440401
16.10205875399,13.4973772040141,13.8378436838246,13.6817734164401,14.288975935155,14.2879088248417,14.2437065990572,13.5652342049116,13.4657370755797,14.6490850370189
